(Train) Mean squared error - 0.2149139569774566
(Test) Mean squared error - 0.2796823764650705
Iter - 1 | MSE - 0.2790691717904996
Iter - 2 | MSE - 0.2503517864080607
Iter - 3 | MSE - 0.2467451064025379
Iter - 4 | MSE - 0.24542793762838377
Iter - 5 | MSE - 0.24437702369113837
Iter - 6 | MSE - 0.24340829757105306
Iter - 7 | MSE - 0.24250077006390172
Iter - 8 | MSE - 0.24164830426995032
Iter - 9 | MSE - 0.2408464685585765
Iter - 10 | MSE - 0.2400913356162662
Iter - 11 | MSE - 0.23937934153887724
Iter - 12 | MSE - 0.23870724217417882
Iter - 13 | MSE - 0.2380720812328093
Iter - 14 | MSE - 0.23747116228306056
Iter - 15 | MSE - 0.23690202363897478
Iter - 16 | MSE - 0.23636241579122455
Iter - 17 | MSE - 0.2358502811141489
Iter - 18 | MSE - 0.23536373561421156
Iter - 19 | MSE - 0.23490105250989554
Iter - 20 | MSE - 0.23446064745487583
Iter - 21 | MSE - 0.23404106523583704
Iter - 22 | MSE - 0.23364096779379107
Iter - 23 | MSE - 0.23325912343341668
Iter - 24 | MSE - 0.2328943970989776
Iter - 25 | MSE - 0.23254574160795055
Iter - 26 | MSE - 0.23221218974475857
Iter - 27 | MSE - 0.23189284712709982
Iter - 28 | MSE - 0.23158688576640324
Iter - 29 | MSE - 0.2312935382520471
Iter - 30 | MSE - 0.23101209249623408
Iter - 31 | MSE - 0.2307418869829247
Iter - 32 | MSE - 0.23048230647005874
Iter - 33 | MSE - 0.23023277809951942
Iter - 34 | MSE - 0.22999276787397663
Iter - 35 | MSE - 0.22976177746394053
Iter - 36 | MSE - 0.22953934131212034
Iter - 37 | MSE - 0.22932502400554935
Iter - 38 | MSE - 0.22911841788896428
Iter - 39 | MSE - 0.2289191408956298
Iter - 40 | MSE - 0.22872683457423262
Iter - 41 | MSE - 0.22854116229264207
Iter - 42 | MSE - 0.2283618076012897
Iter - 43 | MSE - 0.22818847274066786
Iter - 44 | MSE - 0.2280208772790189
Iter - 45 | MSE - 0.22785875686769316
Iter - 46 | MSE - 0.22770186210291748
Iter - 47 | MSE - 0.22754995748384788
Iter - 48 | MSE - 0.22740282045779697
Iter - 49 | MSE - 0.22726024054443789
Iter - 50 | MSE - 0.22712201853160516
Iter - 51 | MSE - 0.22698796573604704
Iter - 52 | MSE - 0.22685790332314315
Iter - 53 | MSE - 0.22673166168019293
Iter - 54 | MSE - 0.22660907983841222
Iter - 55 | MSE - 0.2264900049392516
Iter - 56 | MSE - 0.2263742917410795
Iter - 57 | MSE - 0.22626180216265931
Iter - 58 | MSE - 0.22615240486019172
Iter - 59 | MSE - 0.22604597483501088
Iter - 60 | MSE - 0.22594239306929664
Iter - 61 | MSE - 0.22584154618742006
Iter - 62 | MSE - 0.2257433261407653
Iter - 63 | MSE - 0.22564762991407247
Iter - 64 | MSE - 0.22555435925153242
Iter - 65 | MSE - 0.22546342040102607
Iter - 66 | MSE - 0.22537472387505247
Iter - 67 | MSE - 0.2252881842270212
Iter - 68 | MSE - 0.22520371984170645
Iter - 69 | MSE - 0.22512125273876915
Iter - 70 | MSE - 0.22504070838835136
Iter - 71 | MSE - 0.2249620155378347
Iter - 72 | MSE - 0.2248851060489365
Iter - 73 | MSE - 0.22480991474438766
Iter - 74 | MSE - 0.22473637926350287
Iter - 75 | MSE - 0.22466443992601204
Iter - 76 | MSE - 0.2245940396035752
Iter - 77 | MSE - 0.22452512359845261
Iter - 78 | MSE - 0.22445763952884343
Iter - 79 | MSE - 0.22439153722044872
Iter - 80 | MSE - 0.22432676860384823
Iter - 81 | MSE - 0.22426328761731434
Iter - 82 | MSE - 0.2242010501147161
Iter - 83 | MSE - 0.2241400137781929
Iter - 84 | MSE - 0.2240801380353028
Iter - 85 | MSE - 0.22402138398037136
Iter - 86 | MSE - 0.22396371429978898
Iter - 87 | MSE - 0.22390709320102214
Iter - 88 | MSE - 0.22385148634512134
Iter - 89 | MSE - 0.2237968607825242
Iter - 90 | MSE - 0.22374318489196612
Iter - 91 | MSE - 0.22369042832232444
Iter - 92 | MSE - 0.22363856193723267
Iter - 93 | MSE - 0.22358755776231443
Iter - 94 | MSE - 0.22353738893489436
Iter - 95 | MSE - 0.22348802965605474
Iter - 96 | MSE - 0.22343945514491367
Iter - 97 | MSE - 0.2233916415950083
Iter - 98 | MSE - 0.22334456613267586
Iter - 99 | MSE - 0.22329820677732914
Iter - 100 | MSE - 0.2232525424035311
(Train) Mean squared error - 0.2232075527047791
(Test) Mean squared error - 0.27501856197161356
